24510070200,Madison - Eastend, Baltimore, MD,0.2071,White 
24005402303,Windsor Mill, Baltimore, MD,0.0946,White 
24510260203,Frankford, Baltimore, MD,0.0753,White 
24510190300,Mount Clare, Baltimore, MD,0.0702,White 
24510200500,Mill Hill, Baltimore, MD,0.0545,White 
24005402405,Gwynn Oak, Baltimore, MD,0.0481,White 
24510250500,Curtis Bay, Baltimore, MD,0.0469,White 
24510020100,Upper Fells Point, Baltimore, MD,0.0461,White 
24510020200,Upper Fells Point, Baltimore, MD,0.0448,White 
24510210100,Pigtown, Baltimore, MD,0.0437,White 
24510260604,O'Donnell Heights, Baltimore, MD,0.0411,White 
24510190200,Pratt Monroe, Baltimore, MD,0.0396,White 
24510060100,Patterson Park, Baltimore, MD,0.0392,White 
24510230200,South Baltimore, Baltimore, MD,0.0386,White 
24510010400,Canton, Baltimore, MD,0.0375,White 
24510060300,Butchers Hill, Baltimore, MD,0.0372,White 
24510250303,Morrell Park, Baltimore, MD,0.0349,White 
24510010500,Upper Fells Point, Baltimore, MD,0.0349,White 
24510260401,Armistead Gardens, Baltimore, MD,0.0315,White 
24510240100,Locust Point, Baltimore, MD,0.0307,White 
24510240300,Riverside, Baltimore, MD,0.0303,White 
24510010200,Patterson Park, Baltimore, MD,0.0293,White 
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.0285,White 
24510010300,Canton, Baltimore, MD,0.0279,White 
24510010100,Canton, Baltimore, MD,0.0279,White 
24510250401,Brooklyn, Baltimore, MD,0.0279,White 
24510250402,Brooklyn, Baltimore, MD,0.0272,White 
24510260501,Joseph Lee, Baltimore, MD,0.027,White 
24510260700,Fifteenth Street, Baltimore, MD,0.0268,White 
24510130600,Hampden, Baltimore, MD,0.0267,White 
24510230300,South Baltimore, Baltimore, MD,0.025,White 
24005401302,Gwynn Oak, Baltimore, MD,0.025,White 
24510250301,Westport, Baltimore, MD,0.0241,White 
24510260800,Baltimore Highlands, Baltimore, MD,0.0239,White 
24510120700,Remington, Baltimore, MD,0.0233,White 
24510180300,Hollins Market, Baltimore, MD,0.0224,White 
24510130806,Woodberry, Baltimore, MD,0.0219,White 
24510260101,Cedmont, Baltimore, MD,0.0219,White 
24510240400,Riverside Park, Baltimore, MD,0.0206,White 
24510270501,Woodring, Baltimore, MD,0.0205,White 
24510250206,Morrell Park, Baltimore, MD,0.02,White 
24510250102,Yale Heights, Baltimore, MD,0.0196,White 
24510270301,Lauraville, Baltimore, MD,0.018,White 
24510270401,Glenham-Belford, Baltimore, MD,0.0164,White 
24510130804,Hampden, Baltimore, MD,0.0159,White 
24510110100,Downtown, Baltimore, MD,0.0157,White 
24510260605,Medford - Broening, Baltimore, MD,0.0154,White 
24510250103,Violetville, Baltimore, MD,0.015,White 
24510250101,Beechfield, Baltimore, MD,0.0145,White 
24510270803,Loch Raven, Baltimore, MD,0.0138,White 
24510140100,Bolton Hill, Baltimore, MD,0.0138,White 
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0131,White 
24510210200,Pigtown, Baltimore, MD,0.0123,White 
24510130803,Medfield, Baltimore, MD,0.0119,White 
24510250205,Lakeland, Baltimore, MD,0.0115,White 
24510261000,Patterson Park, Baltimore, MD,0.0115,White 
24510271900,Glen, Baltimore, MD,0.0105,White 
24510090500,Better Waverly, Baltimore, MD,0.0104,White 
24510270502,North Harford Road, Baltimore, MD,0.01,White 
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0087,White 
24510030200,Little Italy, Baltimore, MD,0.0078,White 
24510250600,Brooklyn, Baltimore, MD,0.0077,White 
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.0069,White 
24510130700,Hampden, Baltimore, MD,0.0067,White 
24510270802,Ramblewood, Baltimore, MD,0.0059,White 
24510260404,Baltimore Highlands, Baltimore, MD,0.0057,White 
24510280301,Gwynn Oak, Baltimore, MD,0.0055,White 
24510270200,Lauraville, Baltimore, MD,0.0055,White 
24510270903,Hillen, Baltimore, MD,0.0049,White 
24510271102,Mid-Charles, Baltimore, MD,0.0047,White 
24003750201,Brooklyn, Baltimore, MD,0.004,White 
24510020300,Fells Point, Baltimore, MD,0.0038,White 
24510080101,Belair - Edison, Baltimore, MD,0.0037,White 
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0036,White 
24510260202,Parkside, Baltimore, MD,0.0032,White 
24510040100,Downtown, Baltimore, MD,0.003,White 
24510270804,Lake Walker, Baltimore, MD,0.0029,White 
24510200800,Irvington, Baltimore, MD,0.0028,White 
24510260302,Belair - Edison, Baltimore, MD,0.0024,White 
24510120300,Harwood, Baltimore, MD,0.0024,White 
24510270703,North Harford Road, Baltimore, MD,0.0023,White 
24510271503,Cross Keys, Baltimore, MD,0.0021,White 
24510270302,Waltherson, Baltimore, MD,0.0019,White 
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.0019,White 
24510270805,Mid-Govans, Baltimore, MD,0.0018,White 
24510272004,Cheswolde, Baltimore, MD,0.0018,White 
24510260301,Belair - Edison, Baltimore, MD,0.0017,White 
24510260201,Frankford, Baltimore, MD,0.0014,White 
24510270801,Idlewood, Baltimore, MD,0.0013,White 
24510270102,Waltherson, Baltimore, MD,0.0012,White 
24005401506,Windsor Mill, Baltimore, MD,0.0012,White 
24510272006,Glen, Baltimore, MD,0.0011,White 
24510261100,Canton, Baltimore, MD,0.001,White 
24510240200,Riverside, Baltimore, MD,0.0008,White 
24510271400,Evergreen, Baltimore, MD,0.0008,White 
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0008,White 
24510272005,Cross Country, Baltimore, MD,0.0005,White 
24510270101,Arcadia, Baltimore, MD,0.0004,White 
24510270402,Glenham-Belford, Baltimore, MD,0.0002,White 
24510271200,Homeland, Baltimore, MD,0.0002,White 
24510271300,Roland Park, Baltimore, MD,0.0002,White 
24510110200,Downtown, Baltimore, MD,0.0002,White 
24510271501,Mount Washington, Baltimore, MD,0.0001,White 
24510272007,Fallstaff, Baltimore, MD,0,White 
24510260303,Claremont - Freedom, Baltimore, MD,0,White 
24510280101,Reisterstown Station, Baltimore, MD,0,White 
24510280403,Westgate, Baltimore, MD,0,White 
24005401507,Windsor Mill, Baltimore, MD,0,White 
24005402306,Windsor Mill, Baltimore, MD,0,White 
24510260102,Frankford, Baltimore, MD,0,White 
24510120600,Old Goucher, Baltimore, MD,0,White 
24510271101,Radnor - Winston, Baltimore, MD,0,White 
24510030100,Perkins Homes, Baltimore, MD,0,White 
