tract,Neighborhood,City,State,Iincarceration Rate,Races 
24510120500,Greenmount West, Baltimore, MD,0.1268,All 
24510080800,Broadway East, Baltimore, MD,0.1161,All 
24510080400,Broadway East, Baltimore, MD,0.1066,All 
24510180100,Poppleton, Baltimore, MD,0.1033,All 
24510160200,Sandtown-Winchester, Baltimore, MD,0.0996,All 
24510200400,Shipley Hill, Baltimore, MD,0.0987,All 
24510090900,Oliver, Baltimore, MD,0.0931,All 
24510250204,Cherry Hill, Baltimore, MD,0.0911,All 
24510100100,Johnson Square, Baltimore, MD,0.0897,All 
24510200100,Lexington, Baltimore, MD,0.0883,All 
24510070200,Madison - Eastend, Baltimore, MD,0.0865,All 
24510190100,Franklin Square, Baltimore, MD,0.0843,All 
24510250301,Westport, Baltimore, MD,0.0843,All 
24510070400,Gay Street, Baltimore, MD,0.0825,All 
24510200702,Saint Joseph's, Baltimore, MD,0.0775,All 
24510080301,Berea, Baltimore, MD,0.0775,All 
24510140300,Druid Heights, Baltimore, MD,0.0769,All 
24510080700,Broadway East, Baltimore, MD,0.0768,All 
24510140200,Upton, Baltimore, MD,0.0758,All 
24510120400,Barclay, Baltimore, MD,0.0743,All 
24510080200,Broadway East, Baltimore, MD,0.074,All 
24510160700,Rosemont, Baltimore, MD,0.0725,All 
24510170100,Downtown, Baltimore, MD,0.0725,All 
24510200200,Lexington, Baltimore, MD,0.0722,All 
24510130200,Reservoir Hill, Baltimore, MD,0.0722,All 
24510190200,Pratt Monroe, Baltimore, MD,0.0708,All 
24510130300,Penn North, Baltimore, MD,0.0704,All 
24510120600,Old Goucher, Baltimore, MD,0.0703,All 
24510280302,West Forest Park, Baltimore, MD,0.0703,All 
24510170300,Upton, Baltimore, MD,0.0698,All 
24510180200,Poppleton, Baltimore, MD,0.0689,All 
24510250207,Cherry Hill, Baltimore, MD,0.0684,All 
24510190300,Mount Clare, Baltimore, MD,0.0675,All 
24510260604,O'Donnell Heights, Baltimore, MD,0.067,All 
24510130400,Woodbrook, Baltimore, MD,0.0661,All 
24510160801,Edmondson, Baltimore, MD,0.0661,All 
24510260402,Frankford, Baltimore, MD,0.066,All 
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0652,All 
24510271600,Edgecomb, Baltimore, MD,0.0649,All 
24510210100,Pigtown, Baltimore, MD,0.0645,All 
24510120300,Harwood, Baltimore, MD,0.0644,All 
24510090800,East Baltimore Midway, Baltimore, MD,0.0634,All 
24510080500,Darley Park, Baltimore, MD,0.0613,All 
24510130100,Reservoir Hill, Baltimore, MD,0.061,All 
24510060300,Butchers Hill, Baltimore, MD,0.0608,All 
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0607,All 
24510260301,Belair - Edison, Baltimore, MD,0.0602,All 
24510170200,McCulloh Homes, Baltimore, MD,0.0594,All 
24510260403,Cedonia, Baltimore, MD,0.0584,All 
24510150600,NW Community Action, Baltimore, MD,0.0582,All 
24510250203,Cherry Hill, Baltimore, MD,0.058,All 
24510150300,Coppin Heights, Baltimore, MD,0.0579,All 
24510150100,Sandtown-Winchester, Baltimore, MD,0.0578,All 
24510280500,Pleasant View Gardens, Baltimore, MD,0.0575,All 
24510151200,Park Circle, Baltimore, MD,0.0575,All 
24510180300,Hollins Market, Baltimore, MD,0.057,All 
24510070300,Milton - Montford, Baltimore, MD,0.0563,All 
24510271801,Arlington, Baltimore, MD,0.056,All 
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0557,All 
24510160802,Edmondson, Baltimore, MD,0.0557,All 
24510080302,Berea, Baltimore, MD,0.0556,All 
24510280402,Rognel Heights, Baltimore, MD,0.0554,All 
24510060100,Patterson Park, Baltimore, MD,0.0551,All 
24510280102,Gwynn Oak, Baltimore, MD,0.0541,All 
24510271700,Central Park Heights, Baltimore, MD,0.0541,All 
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.0535,All 
24510160100,Harlem Park, Baltimore, MD,0.0535,All 
24510160400,Midtown Edmondson, Baltimore, MD,0.0534,All 
24510151300,Central Park Heights, Baltimore, MD,0.0533,All 
24510080102,Belair - Edison, Baltimore, MD,0.0529,All 
24510150200,Sandtown-Winchester, Baltimore, MD,0.052,All 
24510271002,Winston - Govans, Baltimore, MD,0.0517,All 
24510140100,Bolton Hill, Baltimore, MD,0.0511,All 
24510150900,Windsor Hills, Baltimore, MD,0.0499,All 
24510080600,Broadway East, Baltimore, MD,0.0499,All 
24510150701,Hanlon Longwood, Baltimore, MD,0.0497,All 
24510200500,Mill Hill, Baltimore, MD,0.0496,All 
24510200800,Irvington, Baltimore, MD,0.0494,All 
24510250102,Yale Heights, Baltimore, MD,0.0493,All 
24510260202,Parkside, Baltimore, MD,0.0493,All 
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.0489,All 
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.0478,All 
24510250402,Brooklyn, Baltimore, MD,0.0469,All 
24510090400,Better Waverly, Baltimore, MD,0.0462,All 
24510150702,Walbrook, Baltimore, MD,0.0462,All 
24510260302,Belair - Edison, Baltimore, MD,0.044,All 
24510020100,Upper Fells Point, Baltimore, MD,0.0437,All 
24510150400,Mondawmin, Baltimore, MD,0.0436,All 
24510160300,Sandtown-Winchester, Baltimore, MD,0.0417,All 
24510280301,Gwynn Oak, Baltimore, MD,0.0416,All 
24510250101,Beechfield, Baltimore, MD,0.0415,All 
24510250500,Curtis Bay, Baltimore, MD,0.0413,All 
24510260203,Frankford, Baltimore, MD,0.041,All 
24510151000,Dorchester, Baltimore, MD,0.0404,All 
24510271900,Glen, Baltimore, MD,0.0404,All 
24510261000,Patterson Park, Baltimore, MD,0.0399,All 
24510270901,New Northwood, Baltimore, MD,0.0399,All 
24510280200,Gwynn Oak, Baltimore, MD,0.0396,All 
24005401302,Gwynn Oak, Baltimore, MD,0.0393,All 
24510260800,Baltimore Highlands, Baltimore, MD,0.0392,All 
24510270902,Perring Loch, Baltimore, MD,0.0386,All 
24510270802,Ramblewood, Baltimore, MD,0.0386,All 
24510030100,Perkins Homes, Baltimore, MD,0.0385,All 
24510110100,Downtown, Baltimore, MD,0.0381,All 
24510160600,Mosher, Baltimore, MD,0.0379,All 
24510270903,Hillen, Baltimore, MD,0.0377,All 
24510260201,Frankford, Baltimore, MD,0.0377,All 
24005402405,Gwynn Oak, Baltimore, MD,0.0375,All 
24510260303,Claremont - Freedom, Baltimore, MD,0.0362,All 
24510270805,Mid-Govans, Baltimore, MD,0.036,All 
24510280404,Irvington, Baltimore, MD,0.0358,All 
24510230200,South Baltimore, Baltimore, MD,0.0356,All 
24510090500,Better Waverly, Baltimore, MD,0.0356,All 
24510250205,Lakeland, Baltimore, MD,0.0355,All 
24510280101,Reisterstown Station, Baltimore, MD,0.0354,All 
24510010200,Patterson Park, Baltimore, MD,0.0353,All 
24510271802,Langston Hughes, Baltimore, MD,0.0353,All 
24510040100,Downtown, Baltimore, MD,0.0351,All 
24510150800,Garwyn Oaks, Baltimore, MD,0.0349,All 
24510010500,Upper Fells Point, Baltimore, MD,0.0348,All 
24510110200,Downtown, Baltimore, MD,0.0346,All 
24510250401,Brooklyn, Baltimore, MD,0.0339,All 
24510260102,Frankford, Baltimore, MD,0.0337,All 
24510230300,South Baltimore, Baltimore, MD,0.0331,All 
24005402303,Windsor Mill, Baltimore, MD,0.0329,All 
24510010400,Canton, Baltimore, MD,0.0324,All 
24510080101,Belair - Edison, Baltimore, MD,0.0321,All 
24510020200,Upper Fells Point, Baltimore, MD,0.0321,All 
24510260101,Cedmont, Baltimore, MD,0.032,All 
24510120700,Remington, Baltimore, MD,0.0319,All 
24005402306,Windsor Mill, Baltimore, MD,0.0315,All 
24510151100,East Arlington, Baltimore, MD,0.0312,All 
24510240300,Riverside, Baltimore, MD,0.031,All 
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.0308,All 
24510240100,Locust Point, Baltimore, MD,0.0305,All 
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0305,All 
24510030200,Little Italy, Baltimore, MD,0.0297,All 
24005402304,Gwynn Oak, Baltimore, MD,0.0294,All 
24510250303,Morrell Park, Baltimore, MD,0.0294,All 
24510270803,Loch Raven, Baltimore, MD,0.029,All 
24510260700,Fifteenth Street, Baltimore, MD,0.0288,All 
24510260401,Armistead Gardens, Baltimore, MD,0.0287,All 
24510210200,Pigtown, Baltimore, MD,0.0286,All 
24510010100,Canton, Baltimore, MD,0.028,All 
24510260501,Joseph Lee, Baltimore, MD,0.0275,All 
24510260404,Baltimore Highlands, Baltimore, MD,0.0273,All 
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.0266,All 
24510010300,Canton, Baltimore, MD,0.0259,All 
24510130600,Hampden, Baltimore, MD,0.0258,All 
24510270401,Glenham-Belford, Baltimore, MD,0.0254,All 
24510150500,Burleith-Leighton, Baltimore, MD,0.0252,All 
24510270101,Arcadia, Baltimore, MD,0.0247,All 
24510270501,Woodring, Baltimore, MD,0.0244,All 
24510200701,Allendale, Baltimore, MD,0.0243,All 
24510270301,Lauraville, Baltimore, MD,0.024,All 
24510270801,Idlewood, Baltimore, MD,0.0228,All 
24510250600,Brooklyn, Baltimore, MD,0.0226,All 
24003750201,Brooklyn, Baltimore, MD,0.0224,All 
24510270804,Lake Walker, Baltimore, MD,0.0218,All 
24510240400,Riverside Park, Baltimore, MD,0.02,All 
24005402403,Gwynn Oak, Baltimore, MD,0.0192,All 
24510270102,Waltherson, Baltimore, MD,0.0186,All 
24510260605,Medford - Broening, Baltimore, MD,0.0186,All 
24510270200,Lauraville, Baltimore, MD,0.0174,All 
24005401506,Windsor Mill, Baltimore, MD,0.0171,All 
24510130806,Woodberry, Baltimore, MD,0.0166,All 
24005401507,Windsor Mill, Baltimore, MD,0.0162,All 
24510272007,Fallstaff, Baltimore, MD,0.0161,All 
24510250206,Morrell Park, Baltimore, MD,0.016,All 
24510270402,Glenham-Belford, Baltimore, MD,0.0145,All 
24510130804,Hampden, Baltimore, MD,0.0142,All 
24005403202,Gwynn Oak, Baltimore, MD,0.014,All 
24510280403,Westgate, Baltimore, MD,0.0137,All 
24510250103,Violetville, Baltimore, MD,0.0134,All 
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0129,All 
24510271101,Radnor - Winston, Baltimore, MD,0.0127,All 
24510272006,Glen, Baltimore, MD,0.011,All 
24510270502,North Harford Road, Baltimore, MD,0.0108,All 
24510130803,Medfield, Baltimore, MD,0.0101,All 
24510040200,Downtown, Baltimore, MD,0.009,All 
24510130700,Hampden, Baltimore, MD,0.0077,All 
24510271400,Evergreen, Baltimore, MD,0.0064,All 
24510272004,Cheswolde, Baltimore, MD,0.0052,All 
24510270703,North Harford Road, Baltimore, MD,0.005,All 
24510271102,Mid-Charles, Baltimore, MD,0.0047,All 
24510271200,Homeland, Baltimore, MD,0.004,All 
24510020300,Fells Point, Baltimore, MD,0.0034,All 
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0012,All 
24510272005,Cross Country, Baltimore, MD,0.0011,All 
24510261100,Canton, Baltimore, MD,0.001,All 
24510270302,Waltherson, Baltimore, MD,0.0008,All 
24510271300,Roland Park, Baltimore, MD,0.0002,All 
24510271503,Cross Keys, Baltimore, MD,0.0001,All 
24510240200,Riverside, Baltimore, MD,0,All 
24510271501,Mount Washington, Baltimore, MD,0,All 
24510130805,Cold Springs, Baltimore, MD,0,All 
24510100300,Penn - Fallsway, Baltimore, MD,,All 
24510120500,Greenmount West, Baltimore, MD,0.1362,Black
24510260800,Baltimore Highlands, Baltimore, MD,0.1221,Black
24510080800,Broadway East, Baltimore, MD,0.12,Black
24510190200,Pratt Monroe, Baltimore, MD,0.119,Black
24510120600,Old Goucher, Baltimore, MD,0.1136,Black
24510010500,Upper Fells Point, Baltimore, MD,0.111,Black
24510180100,Poppleton, Baltimore, MD,0.1066,Black
24510250402,Brooklyn, Baltimore, MD,0.105,Black
24510080400,Broadway East, Baltimore, MD,0.1033,Black
24510200300,Bentalou-Smallwood, Baltimore, MD,0.1024,Black
24510160200,Sandtown-Winchester, Baltimore, MD,0.1008,Black
24510250401,Brooklyn, Baltimore, MD,0.1004,Black
24510100100,Johnson Square, Baltimore, MD,0.0952,Black
24510250301,Westport, Baltimore, MD,0.0949,Black
24510250204,Cherry Hill, Baltimore, MD,0.0935,Black
24510200400,Shipley Hill, Baltimore, MD,0.0934,Black
24510040100,Downtown, Baltimore, MD,0.0934,Black
24510140100,Bolton Hill, Baltimore, MD,0.0918,Black
24510260700,Fifteenth Street, Baltimore, MD,0.0914,Black
24510200100,Lexington, Baltimore, MD,0.0908,Black
24510090900,Oliver, Baltimore, MD,0.0908,Black
24510070200,Madison - Eastend, Baltimore, MD,0.0857,Black
24510260604,O'Donnell Heights, Baltimore, MD,0.0848,Black
24510080301,Berea, Baltimore, MD,0.0829,Black
24510210100,Pigtown, Baltimore, MD,0.0828,Black
24510070400,Gay Street, Baltimore, MD,0.0819,Black
24510200702,Saint Joseph's, Baltimore, MD,0.0818,Black
24510190300,Mount Clare, Baltimore, MD,0.0815,Black
24510080700,Broadway East, Baltimore, MD,0.0814,Black
24510020200,Upper Fells Point, Baltimore, MD,0.0805,Black
24510190100,Franklin Square, Baltimore, MD,0.0804,Black
24510010200,Patterson Park, Baltimore, MD,0.08,Black
24510130200,Reservoir Hill, Baltimore, MD,0.0796,Black
24510140300,Druid Heights, Baltimore, MD,0.0793,Black
24510170100,Downtown, Baltimore, MD,0.0791,Black
24510140200,Upton, Baltimore, MD,0.0769,Black
24510180300,Hollins Market, Baltimore, MD,0.0765,Black
24510120400,Barclay, Baltimore, MD,0.0763,Black
24510260301,Belair - Edison, Baltimore, MD,0.076,Black
24510160700,Rosemont, Baltimore, MD,0.0755,Black
24510080200,Broadway East, Baltimore, MD,0.0745,Black
24510120300,Harwood, Baltimore, MD,0.0735,Black
24510280302,West Forest Park, Baltimore, MD,0.0731,Black
24510130300,Penn North, Baltimore, MD,0.073,Black
24510250207,Cherry Hill, Baltimore, MD,0.0715,Black
24510170300,Upton, Baltimore, MD,0.0714,Black
24510260402,Frankford, Baltimore, MD,0.0712,Black
24510180200,Poppleton, Baltimore, MD,0.0708,Black
24510060100,Patterson Park, Baltimore, MD,0.0705,Black
